ID,AGG_INCOME
13267,118911865
13269,43879837
13271,67054094
13273,51201952
13275,332174642
13277,281505280
13279,219347853
13281,56039688
13283,50303028
13285,441577327
13287,54118232
13289,54541711
13291,166489044
13293,175037988
13295,479887333
13297,466286124
13299,241473490
13301,27035614
13303,107843538
13305,176510535
13307,10836173
13309,27483658
13311,171735829
13313,779985141
13315,26692520
13317,52364247
13319,42017346
13321,122136769
15001,1508464099
15003,7287481709
15005,864589
15007,568163609
15009,1409053211
16001,2991279440
16003,14024153
16005,497559059
16007,32954998
16009,47283375
16011,240599906
16013,208427031
16015,41254229
16017,328261904
16019,694764542
16021,97799570
16023,15314497
16025,7074225
16027,811018905
16029,36159988
16031,103951577
16033,2856576
16035,43402896
16037,30599681
16039,149876089
16041,65552391
16043,80457192
16045,87678419
16047,94438387
16049,74890646
16051,144144057
16053,99794878
16055,977188940
16057,231006111
16059,43463211
16061,13391461
16063,19364772
16065,162705105
16067,151085955
16069,251623600
16071,14633578
16073,48022702
16075,158836697
16077,50431310
16079,80145689
16081,83589881
16083,480378158
16085,117101679
16087,48749452
17001,437623906
17003,34893217
17005,115558482
17007,385592129
17009,44344476
17011,207627746
17013,24003532
17015,88219934
17017,76253281
17019,1452024722
17021,196081353
17023,126024916
17025,74455761
17027,253385682
17029,396304745
17031,48119229873
17033,124549737
17035,55840186
17037,558680781
17039,106055859
17041,138261129
17043,8781033710
17045,121869441
17047,36827724
17049,222141949
17051,124281685
17053,79187070
17055,218297209
17057,216151481
17059,29437829
17061,70621191
17063,349407784
17065,63424830
17067,112845894
17069,29082002
17071,49380718
17073,353210680
17075,170540003
17077,395036421
17079,64562438
17081,204453940
17083,150762414
17085,190598346
17087,59468643
17089,4148817797
17091,636489366
17093,772356734
17095,319964636
17097,6144749980
17099,701222808
17101,104536425
17103,264517336
17105,252311567
17107,160874896
17109,198427109
17111,2192819776
17113,1130637348
17115,728197439
17117,338747634
17119,1951905516
17121,206486131
17123,62109098
17125,87787333
17127,99252626
17129,96000182
17131,104477739
17133,234288442
17135,170488176
17137,230459675
17139,87740916
17141,340365100
17143,1251158197
17145,151600634
17147,117721663
17149,84535556
17151,19127898
17153,29150876
17155,41208230
17157,197030434
17159,94530335
17161,938280986
17163,2010569936
17165,166693248
17167,1582026472
17169,43451822
17171,25891401
17173,131756942
17175,50133722
17177,273549180
17179,921533053
17181,116713975
17183,419864782
17185,69650519
17187,112186858
17189,100470257
17191,96694980
17193,90960967
17195,392399557
17197,4671230798
17199,465609700
17201,2116991187
17203,276720762
18001,212420865
18003,2361843722
18005,570657345
18007,41282700
18009,66990511
18011,647679207
18013,151685218
18015,120750222
18017,254078273
18019,701842537
18021,171202202
18023,211340835
18025,45513230
18027,184228685
18029,374767311
18031,159742344
18033,302121350
18035,688217948
18037,306415958
18039,1162580081
18041,158345051
18043,535411995
18045,115804179
18047,132703875
18049,173481091
18051,219141952
18053,350506319
18055,225036097
18057,2387686232
18059,488235450
18061,244061819
18063,967280132
18065,311748747
18067,532711304
18069,187467063
18071,250787820
18073,197954969
18075,108902559
18077,184992536
18079,156971707
18081,1041469718
18083,281614286
18085,532772829
18087,223283315
18089,3202759580
18091,698899712
18093,321881194
18095,723802213
18097,6345365549
18099,274499028
18101,62577491
18103,240924339
18105,1067122264
18107,216881252
18109,456748712
18111,79375096
18113,289998590
18115,31478165
18117,118552016
18119,109847073
18121,154394085
18123,94117405
18125,76017492
18127,1094181209
18129,230381082
18131,95883685
