LONG_ID,ELDERLY,WORKING_AGE,YOUTH
13233 2000,5026,22054,13776
13235 2000,1272,5821,3108
13237 2000,2658,11328,5976
13239 2000,516,1395,846
13241 2000,2730,8702,4475
13243 2000,1212,4080,3051
13245 2000,21645,117154,75220
13247 2000,6456,42340,25795
13249 2000,419,2145,1521
13251 2000,2155,8486,5745
13253 2000,1477,5176,3392
13255 2000,6838,33952,22006
13257 2000,3971,14637,8382
13259 2000,973,2827,1790
13261 2000,4095,18660,13065
13263 2000,937,3825,2122
13265 2000,393,1135,680
13267 2000,2506,14104,7049
13269 2000,1169,5047,3224
13271 2000,1755,7081,3663
13273 2000,1425,6069,4326
13275 2000,5870,24138,15609
13277 2000,4498,21958,14912
13279 2000,3178,14701,10198
13281 2000,2409,4974,2342
13283 2000,908,3882,2570
13285 2000,7401,33421,22213
13287 2000,1230,5157,3853
13289 2000,1196,6204,3903
13291 2000,3728,9703,4693
13293 2000,4123,15768,9489
13295 2000,8439,36005,20611
13297 2000,5840,36017,23732
13299 2000,5470,20274,12006
13301 2000,1017,3482,2270
13303 2000,2671,12182,7664
13305 2000,3017,15966,9339
13307 2000,353,1364,842
13309 2000,782,3855,1909
13311 2000,2902,11793,6495
13313 2000,8576,49675,32084
13315 2000,1162,5234,2717
13317 2000,1832,5982,3496
13319 2000,1334,5815,3814
13321 2000,2629,12435,8432
15001 2000,20119,85738,51950
15003 2000,117737,526395,288873
15005 2000,47,97,3
15007 2000,8069,33642,20357
15009 2000,14629,77813,44231
16001 2000,27301,182900,113745
16003 2000,561,2007,1048
16005 2000,7662,43535,30483
16007 2000,997,3118,2741
16009 2000,1305,5169,3290
16011 2000,4318,21410,19666
16013 2000,1482,12548,6078
16015 2000,732,4035,2343
16017 2000,4835,21698,12402
16019 2000,8398,45118,35806
16021 2000,1321,5421,3816
16023 2000,433,1549,1107
16025 2000,129,595,310
16027 2000,14461,72158,56808
16029 2000,994,3801,3056
16031 2000,2730,10714,9839
16033 2000,94,541,478
16035 2000,1393,5302,2668
16037 2000,630,2523,1423
16039 2000,2079,18057,11438
16041 2000,1321,5435,5703
16043 2000,1469,6032,5318
16045 2000,2374,8160,5714
16047 2000,2178,7382,5693
16049 2000,2644,8579,5107
16051 2000,1775,9770,9321
16053 2000,2251,9777,7815
16055 2000,13345,62776,40020
16057 2000,3312,21821,11685
16059 2000,1308,4338,2557
16061 2000,693,2033,1200
16063 2000,528,2154,1666
16065 2000,1659,13285,14479
16067 2000,2658,10462,8665
16069 2000,6175,21177,12321
16071 2000,655,2026,1748
16073 2000,1293,5648,4538
16075 2000,2723,10981,8432
16077 2000,783,3997,3390
16079 2000,2400,7911,4234
16081 2000,448,3495,2566
16083 2000,9172,34950,24841
16085 2000,1134,4574,2273
16087 2000,1763,5210,3677
17001 2000,12025,37203,23251
17003 2000,1623,5272,3295
17005 2000,2595,10566,5464
17007 2000,4463,23801,16680
17009 2000,882,4643,1705
17011 2000,6299,19453,11845
17013 2000,975,2808,1571
17015 2000,3211,9039,5349
17017 2000,2150,7749,4730
17019 2000,17470,110911,61705
17021 2000,6094,19897,11523
17023 2000,3061,9287,5680
17025 2000,2792,7912,4715
17027 2000,5131,20563,12006
17029 2000,7067,32040,16908
17031 2000,630265,3203003,1931674
17033 2000,3397,11833,6338
17035 2000,1782,6174,4009
17037 2000,8711,53818,31991
17039 2000,2666,9584,5591
17041 2000,3180,10857,7264
17043 2000,88794,551686,329530
17045 2000,3494,10993,6347
17047 2000,1290,3911,2164
17049 2000,4767,18774,13175
17051 2000,3464,12538,7126
17053 2000,2764,7480,4908
17055 2000,7292,21813,12117
17057 2000,7015,21825,11539
17059 2000,1174,3645,1963
17061 2000,2584,7993,5101
17063 2000,4607,21913,13508
17065 2000,1655,4669,2809
17067 2000,3675,10999,6568
17069 2000,893,2790,1380
17071 2000,1373,4736,2573
17073 2000,8341,28388,17341
17075 2000,5672,16932,10653
17077 2000,6575,37252,18786
17079 2000,1667,5533,3496
17081 2000,6130,23120,13139
17083 2000,3114,12282,7561
17085 2000,3998,12619,6918
17087 2000,1746,8374,3362
17089 2000,33981,236804,168583
17091 2000,13584,58924,38595
17093 2000,4635,32410,21861
17095 2000,9780,32095,17182
17097 2000,54989,380243,262102
17099 2000,18292,62210,38040
17101 2000,3113,8429,4766
17103 2000,5288,21113,11653
17105 2000,6059,22724,13272
17107 2000,4691,18388,9793
17109 2000,4652,19735,9975
17111 2000,20913,154675,105599
17113 2000,14621,92307,53251
17115 2000,17481,65482,39044
17117 2000,8576,26980,16252
17119 2000,36923,150170,88125
17121 2000,6925,23037,14387
17123 2000,2473,7282,4147
17125 2000,2772,8938,5242
17127 2000,2700,8566,4835
17129 2000,1645,7214,4349
17131 2000,2702,9593,5622
17133 2000,3701,15862,9865
17135 2000,5215,17366,9834
17137 2000,5707,21106,11796
17139 2000,2524,7728,4959
17141 2000,6855,28872,18538
17143 2000,25981,105524,64540
17145 2000,3690,13631,6992
17147 2000,2529,9325,5520
17149 2000,3346,9407,5643
17151 2000,782,2499,1343
17153 2000,1282,3855,2661
17155 2000,967,3440,2040
17157 2000,5292,20197,10251
17159 2000,2842,8903,5391
17161 2000,22564,86573,49723
17163 2000,33709,144318,95824
17165 2000,5066,14423,8785
17167 2000,25524,111825,63712
17169 2000,1389,3986,2228
17171 2000,915,3083,1890
17173 2000,4077,12481,7674
17175 2000,1215,3380,2136
17177 2000,8026,27277,16650
17179 2000,19099,74765,42643
17181 2000,3202,10379,5669
17183 2000,13425,47381,28690
17185 2000,2197,7164,4313
17187 2000,3061,10480,6252
17189 2000,2537,8356,5112
17191 2000,3218,9415,5546
17193 2000,3205,8461,4489
17195 2000,9740,34040,20781
17197 2000,41610,296813,205871
17199 2000,10123,35563,19265
17201 2000,35450,162290,100430
17203 2000,5242,19597,12966
